Epoch/Iter:0/142, Real loss: [0.84744847],fake loss: [3.9069202],c loss: [0.09387956], generator_loss: [2.7091277],reconstruction_loss: [0.04077846],KL_loss: [3.6164217]:
Epoch/Iter:1/142, Real loss: [2.0845137],fake loss: [1.63656],c loss: [0.40707794], generator_loss: [0.82988256],reconstruction_loss: [0.07083141],KL_loss: [1.6280003]:
Epoch/Iter:2/142, Real loss: [0.85652345],fake loss: [0.9624029],c loss: [0.02577958], generator_loss: [0.7007469],reconstruction_loss: [0.03768094],KL_loss: [4.475254]:
Epoch/Iter:3/142, Real loss: [0.4842217],fake loss: [0.7416657],c loss: [0.04547394], generator_loss: [0.7603747],reconstruction_loss: [0.02494165],KL_loss: [14.410282]:
Epoch/Iter:4/142, Real loss: [0.5601637],fake loss: [0.5364574],c loss: [0.05275567], generator_loss: [0.6120271],reconstruction_loss: [0.02465465],KL_loss: [51.024925]:
Epoch/Iter:5/142, Real loss: [0.540522],fake loss: [0.50461274],c loss: [0.0078792], generator_loss: [0.62395775],reconstruction_loss: [0.02342472],KL_loss: [4.3727546]:
Epoch/Iter:6/142, Real loss: [0.48375726],fake loss: [0.54444855],c loss: [0.01129583], generator_loss: [0.89993614],reconstruction_loss: [0.02786886],KL_loss: [40.52445]:
Epoch/Iter:7/142, Real loss: [0.5075061],fake loss: [0.47687256],c loss: [0.03506495], generator_loss: [0.73415774],reconstruction_loss: [0.03262751],KL_loss: [4.344822]:
Epoch/Iter:8/142, Real loss: [0.5136475],fake loss: [0.48571622],c loss: [0.03134025], generator_loss: [0.7414885],reconstruction_loss: [0.0246026],KL_loss: [0.8791625]:
Epoch/Iter:9/142, Real loss: [0.53359175],fake loss: [0.4553223],c loss: [0.02316183], generator_loss: [0.57783693],reconstruction_loss: [0.02515989],KL_loss: [6.7521586]:
Epoch/Iter:10/142, Real loss: [0.5706128],fake loss: [0.42914432],c loss: [0.02389664], generator_loss: [0.6246277],reconstruction_loss: [0.02870052],KL_loss: [5.9040403]:
Epoch/Iter:11/142, Real loss: [0.47696623],fake loss: [0.5027174],c loss: [0.02294032], generator_loss: [0.6130561],reconstruction_loss: [0.02880848],KL_loss: [1.6460664]:
Epoch/Iter:12/142, Real loss: [0.5010622],fake loss: [0.47525686],c loss: [0.00702239], generator_loss: [0.6672071],reconstruction_loss: [0.03029733],KL_loss: [5.4195304]:
Epoch/Iter:13/142, Real loss: [0.4885795],fake loss: [0.50263476],c loss: [0.01138412], generator_loss: [0.7076471],reconstruction_loss: [0.03205809],KL_loss: [17.320995]:
Epoch/Iter:14/142, Real loss: [0.45029792],fake loss: [0.5111477],c loss: [0.00702871], generator_loss: [0.8305082],reconstruction_loss: [0.03465781],KL_loss: [8.203586]:
Epoch/Iter:15/142, Real loss: [0.5090621],fake loss: [0.48241654],c loss: [0.0071072], generator_loss: [0.8075711],reconstruction_loss: [0.0352837],KL_loss: [3.0240407]:
Epoch/Iter:16/142, Real loss: [0.26184002],fake loss: [0.92043877],c loss: [15.950309], generator_loss: [1.590702],reconstruction_loss: [0.03837985],KL_loss: [3.2056377]:
Epoch/Iter:17/142, Real loss: [0.45969644],fake loss: [0.47627544],c loss: [0.01229913], generator_loss: [1.0150019],reconstruction_loss: [0.02942699],KL_loss: [5.490215]:
Epoch/Iter:18/142, Real loss: [0.63632244],fake loss: [0.42152512],c loss: [0.00703759], generator_loss: [1.1344985],reconstruction_loss: [0.03187374],KL_loss: [2.4601984]:
Epoch/Iter:19/142, Real loss: [0.5101499],fake loss: [0.6376309],c loss: [0.01058909], generator_loss: [1.9258661],reconstruction_loss: [0.03860341],KL_loss: [2.4887824]:
