Epoch/Iter:0/142, Real loss: [2.1607194],fake loss: [1.3551768],c loss: [0.1645632], generator_loss: [1.8261654],reconstruction_loss: [0.5256825],KL_loss: [46.307873]:
Epoch/Iter:1/142, Real loss: [0.76823324],fake loss: [1.4972465],c loss: [0.24218158], generator_loss: [3.2412615],reconstruction_loss: [0.41578802],KL_loss: [51.533775]:
Epoch/Iter:2/142, Real loss: [0.60627574],fake loss: [1.5676963],c loss: [0.21642697], generator_loss: [2.2332053],reconstruction_loss: [0.36862192],KL_loss: [17.907967]:
Epoch/Iter:3/142, Real loss: [1.2267009],fake loss: [0.55956423],c loss: [0.14277631], generator_loss: [4.2157435],reconstruction_loss: [0.34708112],KL_loss: [43.86505]:
Epoch/Iter:4/142, Real loss: [1.8039749],fake loss: [1.3761395],c loss: [0.1243469], generator_loss: [1.6674343],reconstruction_loss: [0.45187318],KL_loss: [26.568993]:
Epoch/Iter:5/142, Real loss: [1.255207],fake loss: [1.1825974],c loss: [0.09433144], generator_loss: [7.696825],reconstruction_loss: [0.49576637],KL_loss: [91.23747]:
Epoch/Iter:6/142, Real loss: [1.8333722],fake loss: [0.6516926],c loss: [0.06512681], generator_loss: [2.0174975],reconstruction_loss: [0.35978544],KL_loss: [55.71005]:
Epoch/Iter:7/142, Real loss: [1.3802209],fake loss: [0.89935106],c loss: [0.06290627], generator_loss: [2.7816248],reconstruction_loss: [0.32430875],KL_loss: [32.11902]:
Epoch/Iter:8/142, Real loss: [1.9150047],fake loss: [0.3698845],c loss: [0.12504564], generator_loss: [2.796923],reconstruction_loss: [0.3432509],KL_loss: [42.868904]:
Epoch/Iter:9/142, Real loss: [1.206562],fake loss: [1.1155694],c loss: [0.05473379], generator_loss: [2.947367],reconstruction_loss: [0.3342088],KL_loss: [65.71058]:
Epoch/Iter:10/142, Real loss: [1.3335533],fake loss: [1.0569762],c loss: [0.05585625], generator_loss: [3.0107403],reconstruction_loss: [0.34546936],KL_loss: [24.112411]:
Epoch/Iter:11/142, Real loss: [0.42169294],fake loss: [1.8100232],c loss: [0.17080636], generator_loss: [7.3887453],reconstruction_loss: [0.33342955],KL_loss: [11.459465]:
Epoch/Iter:12/142, Real loss: [0.18340981],fake loss: [0.21440358],c loss: [0.05640334], generator_loss: [6.0065064],reconstruction_loss: [0.35914454],KL_loss: [23.595007]:
Epoch/Iter:13/142, Real loss: [0.29475048],fake loss: [1.6131302],c loss: [0.0438527], generator_loss: [6.3870606],reconstruction_loss: [0.33477145],KL_loss: [30.873692]:
Epoch/Iter:14/142, Real loss: [0.07871921],fake loss: [1.4934491],c loss: [0.03411415], generator_loss: [9.639822],reconstruction_loss: [0.41608262],KL_loss: [5.6197815]:
Epoch/Iter:15/142, Real loss: [1.1193757],fake loss: [1.3293698],c loss: [0.06047902], generator_loss: [2.3087697],reconstruction_loss: [0.3334663],KL_loss: [35.74285]:
Epoch/Iter:16/142, Real loss: [0.06423045],fake loss: [1.3979154],c loss: [0.05169285], generator_loss: [7.6015544],reconstruction_loss: [0.34430173],KL_loss: [7.900625]:
Epoch/Iter:17/142, Real loss: [0.29701656],fake loss: [0.37204167],c loss: [0.07228782], generator_loss: [5.905869],reconstruction_loss: [0.37211937],KL_loss: [15.366022]:
Epoch/Iter:18/142, Real loss: [0.54984283],fake loss: [0.0238822],c loss: [0.04560922], generator_loss: [10.238396],reconstruction_loss: [0.37371308],KL_loss: [15.626476]:
Epoch/Iter:19/142, Real loss: [0.28681493],fake loss: [1.0131598],c loss: [0.05406919], generator_loss: [7.1446705],reconstruction_loss: [0.32461655],KL_loss: [24.455559]:
Epoch/Iter:20/142, Real loss: [0.27000737],fake loss: [0.91880614],c loss: [0.03831017], generator_loss: [3.5983136],reconstruction_loss: [0.3623079],KL_loss: [1.5658174e-26]:
Epoch/Iter:21/142, Real loss: [0.21705456],fake loss: [1.753218],c loss: [0.03719089], generator_loss: [6.801043],reconstruction_loss: [0.41151625],KL_loss: [1.1985817e-26]:
Epoch/Iter:22/142, Real loss: [0.6013922],fake loss: [1.1605531],c loss: [0.04747367], generator_loss: [4.272636],reconstruction_loss: [0.3670593],KL_loss: [1.5599083e-26]:
Epoch/Iter:23/142, Real loss: [0.23512642],fake loss: [0.00526245],c loss: [0.05897898], generator_loss: [10.961323],reconstruction_loss: [0.3751629],KL_loss: [0]:
Epoch/Iter:24/142, Real loss: [0.05662673],fake loss: [0.01691147],c loss: [0.18204702], generator_loss: [10.26749],reconstruction_loss: [0.37951827],KL_loss: [3.8573926e-05]:
Epoch/Iter:25/142, Real loss: [1.2742065],fake loss: [0.82639253],c loss: [0.06788016], generator_loss: [2.7720468],reconstruction_loss: [0.34804508],KL_loss: [7.559517e-13]:
Epoch/Iter:26/142, Real loss: [0.23840447],fake loss: [0.04024884],c loss: [0.09923622], generator_loss: [8.427223],reconstruction_loss: [0.36915496],KL_loss: [7.559526e-13]:
Epoch/Iter:27/142, Real loss: [0.20706385],fake loss: [0.01147716],c loss: [0.07739665], generator_loss: [11.272239],reconstruction_loss: [0.5063652],KL_loss: [9.758722e-13]:
Epoch/Iter:28/142, Real loss: [0.12947987],fake loss: [0.0003319],c loss: [0.02764738], generator_loss: [17.93911],reconstruction_loss: [0.36977273],KL_loss: [1.1973368e-26]:
Epoch/Iter:29/142, Real loss: [0.8577298],fake loss: [0.8352353],c loss: [0.07451619], generator_loss: [6.704586],reconstruction_loss: [0.3040384],KL_loss: [0]:
Epoch/Iter:30/142, Real loss: [0.00641823],fake loss: [0.00501723],c loss: [0.0402916], generator_loss: [13.477367],reconstruction_loss: [0.47347736],KL_loss: [0]:
Epoch/Iter:31/142, Real loss: [0.41142052],fake loss: [1.7455435],c loss: [0.04459022], generator_loss: [8.673018],reconstruction_loss: [0.36668476],KL_loss: [7.576882e-13]:
Epoch/Iter:32/142, Real loss: [0.10240469],fake loss: [0.00052209],c loss: [0.01923217], generator_loss: [18.19192],reconstruction_loss: [0.36442742],KL_loss: [0]:
Epoch/Iter:33/142, Real loss: [2.019574],fake loss: [5.1246443],c loss: [0.04851663], generator_loss: [1.9776323],reconstruction_loss: [0.2998274],KL_loss: [1.5654698e-26]:
Epoch/Iter:34/142, Real loss: [0.09245315],fake loss: [0.2857383],c loss: [0.05186202], generator_loss: [5.7324615],reconstruction_loss: [0.33060506],KL_loss: [0]:
Epoch/Iter:35/142, Real loss: [0.02071057],fake loss: [0.09000854],c loss: [0.02434615], generator_loss: [7.3711],reconstruction_loss: [0.4147482],KL_loss: [0]:
Epoch/Iter:36/142, Real loss: [1.0344751],fake loss: [2.4801185],c loss: [0.07452159], generator_loss: [9.105818],reconstruction_loss: [0.32317904],KL_loss: [1.6908839e-26]:
Epoch/Iter:37/142, Real loss: [0.03409881],fake loss: [0.04193816],c loss: [0.02103278], generator_loss: [5.9060607],reconstruction_loss: [0.3948378],KL_loss: [6.680897e-14]:
Epoch/Iter:38/142, Real loss: [0.07510605],fake loss: [2.8086028],c loss: [0.03274708], generator_loss: [7.555027],reconstruction_loss: [0.3413601],KL_loss: [1.3788887e-11]:
Epoch/Iter:39/142, Real loss: [0.05067907],fake loss: [0.01602756],c loss: [0.0341518], generator_loss: [11.2504015],reconstruction_loss: [0.36108708],KL_loss: [1.0891791e-12]:
