Epoch/Iter:0/142, Real loss: [0.89119714],fake loss: [0.6232503],c loss: [0.24169575], generator_loss: [1.2613891],reconstruction_loss: [0.05302602],KL_loss: [0.52713764]:
Epoch/Iter:1/142, Real loss: [0.8945591],fake loss: [0.8211713],c loss: [0.39578354], generator_loss: [1.107721],reconstruction_loss: [0.04817854],KL_loss: [2.9478447]:
Epoch/Iter:2/142, Real loss: [1.1238844],fake loss: [0.731156],c loss: [0.15461999], generator_loss: [1.2525715],reconstruction_loss: [0.05475693],KL_loss: [0.91123044]:
Epoch/Iter:3/142, Real loss: [0.8301976],fake loss: [0.7731166],c loss: [0.17225349], generator_loss: [1.4141285],reconstruction_loss: [0.03630998],KL_loss: [1.1974285]:
Epoch/Iter:4/142, Real loss: [0.6780484],fake loss: [0.48530746],c loss: [0.12863792], generator_loss: [1.6192658],reconstruction_loss: [0.0356109],KL_loss: [1.76577]:
Epoch/Iter:5/142, Real loss: [0.4282859],fake loss: [0.4856735],c loss: [0.08995517], generator_loss: [1.4968939],reconstruction_loss: [0.0367065],KL_loss: [7.0473347]:
Epoch/Iter:6/142, Real loss: [0.5022501],fake loss: [0.5292335],c loss: [0.12219717], generator_loss: [1.9889182],reconstruction_loss: [0.04327166],KL_loss: [2.6442132]:
Epoch/Iter:7/142, Real loss: [0.24545197],fake loss: [0.1319784],c loss: [0.13598567], generator_loss: [2.8192565],reconstruction_loss: [0.0468471],KL_loss: [6.1327133]:
Epoch/Iter:8/142, Real loss: [0.49549836],fake loss: [0.61349934],c loss: [0.03708572], generator_loss: [1.5906951],reconstruction_loss: [0.0437057],KL_loss: [0.9249363]:
Epoch/Iter:9/142, Real loss: [0.23716104],fake loss: [0.24188313],c loss: [0.05170342], generator_loss: [3.0094569],reconstruction_loss: [0.04976926],KL_loss: [0.90851754]:
Epoch/Iter:10/142, Real loss: [0.26708576],fake loss: [0.38488662],c loss: [0.05025928], generator_loss: [2.2653677],reconstruction_loss: [0.04894501],KL_loss: [0.7958361]:
Epoch/Iter:11/142, Real loss: [0.11090925],fake loss: [0.05626037],c loss: [0.054583], generator_loss: [3.6354902],reconstruction_loss: [0.05306085],KL_loss: [2.8796659]:
Epoch/Iter:12/142, Real loss: [0.58811057],fake loss: [0.17250307],c loss: [0.03637425], generator_loss: [3.108357],reconstruction_loss: [0.04748638],KL_loss: [1.8099463]:
Epoch/Iter:13/142, Real loss: [0.88484746],fake loss: [0.87746185],c loss: [0.029014], generator_loss: [1.3666855],reconstruction_loss: [0.04062193],KL_loss: [0.8339956]:
Epoch/Iter:14/142, Real loss: [0.5524599],fake loss: [0.33155075],c loss: [0.07282983], generator_loss: [1.5932678],reconstruction_loss: [0.04076976],KL_loss: [3.537792]:
Epoch/Iter:15/142, Real loss: [0.66482043],fake loss: [0.06350915],c loss: [0.03296386], generator_loss: [3.1136506],reconstruction_loss: [0.04958251],KL_loss: [0.53189784]:
Epoch/Iter:16/142, Real loss: [0.36335316],fake loss: [0.9629854],c loss: [0.03546841], generator_loss: [2.3267126],reconstruction_loss: [0.04561954],KL_loss: [0.84059626]:
Epoch/Iter:17/142, Real loss: [0.20145802],fake loss: [0.00228561],c loss: [0.05727039], generator_loss: [5.8038607],reconstruction_loss: [0.04825304],KL_loss: [1.9628034]:
Epoch/Iter:18/142, Real loss: [0.77011573],fake loss: [0.03326407],c loss: [0.05026499], generator_loss: [3.1039486],reconstruction_loss: [0.04258046],KL_loss: [1.4710681]:
Epoch/Iter:19/142, Real loss: [0.43126488],fake loss: [0.5329559],c loss: [0.05267534], generator_loss: [2.3399813],reconstruction_loss: [0.04312924],KL_loss: [1.0783861]:
